#ID	a	b	T	V
260
641	0.4830	0.4345	0.383	-6.98
650	0.3740	0.6610	0.497	-5.02
651	0.3866	0.6499	0.519	0.12
652	0.3689	0.6003	0.868	-0.28
653	0.4052	0.6132	0.454	-1.35
654	0.3704	0.6668	0.970	-2.76
655	0.4144	0.6318	0.559	-6.43
660	0.5128	0.3544	0.350	-4.38
661	0.4456	0.4488	0.415	-2.34
680	0.4192	0.4543	0.571	-4.82
681	0.4507	0.4644	0.712	-4.51
682	0.4864	0.4418	0.613	-1.83
691	0.4224	0.5739	0.485	-0.13
692	0.3737	0.5925	0.235	2.44
693	0.3566	0.6207	0.503	-1.98
694	0.4640	0.5688	0.470	0.39
701	0.4454	0.5438	0.557	-3.19
711	0.3931	0.5876	0.475	-2.25
712	0.4665	0.5280	0.426	-3.95
721	0.4233	0.5463	0.453	-0.92
722	0.3850	0.4696	0.820	-2.25
731	0.4994	0.5417	0.578	-0.34
740	0.4075	0.6047	0.675	3.08
741	0.4062	0.5705	0.345	2.04
742	0.4512	0.5405	0.599	3.46
743	0.4359	0.6066	0.424	3.08
744	0.3953	0.5966	0.959	-0.43
745	0.3975	0.5359	0.358	5.42
746	0.3510	0.6078	0.404	1.98
747	0.3491	0.6559	0.392	6.92
749	0.3765	0.5156	0.383	6.49
756	0.3856	0.5051	0.635	-3.45
757	0.3853	0.4957	0.885	-3.09
760	0.3486	0.6071	0.758	-4.01
761	0.4275	0.5369	0.482	-0.83
762	0.4527	0.5250	0.520	-0.96
763	0.3539	0.5676	0.803	-1.56
766	0.3602	0.4735	0.772	4.52
768	0.3915	0.6802	0.277	-1.07
800	0.3693	0.5332	0.745	-5.70
801	0.3638	0.5790	0.461	-1.73
802	0.3989	0.6029	0.543	-1.21
803	0.3623	0.5553	0.477	-6.59
804	0.4448	0.5482	0.518	-4.30
805	0.2034	0.5863	0.349	-1.00
806	0.4052	0.5969	0.576	-0.62
807	0.3635	0.5787	0.453	4.20
808	0.3632	0.6078	0.780	-1.39
809	0.4155	0.5438	0.508	-2.18
810	0.3639	0.5924	0.235	-5.59
812	0.3558	0.6310	0.639	0.32
813	0.3724	0.6107	0.651	2.31
814	0.3632	0.7387	0.359	-5.98
815	0.1322	0.6329	0.379	2.86
816	0.3216	0.5612	0.399	-5.20
817	0.3880	0.5743	0.581	-0.51
818	0.3228	0.5092	0.457	2.53
819	0.3134	0.5731	0.344	-0.84
820	0.4013	0.5799	0.634	-0.41
821	0.3690	0.5842	0.455	-4.29
822	0.3783	0.5892	0.428	-3.27
823	0.3424	0.5546	0.489	-1.68
824	0.3371	0.5355	0.380	-3.01
825	0.3891	0.6183	0.473	-2.13
826	0.3833	0.5787	0.714	-1.76
827	0.4053	0.6223	0.590	-1.07
828	0.4071	0.5985	0.038	-2.50
829	0.3637	0.5392	0.777	5.99
830	0.3969	0.6021	0.450	-0.87
831	0.3963	0.5934	0.579	-0.53
832	0.4206	0.5805	0.509	-1.83
833	0.4363	0.5678	0.538	-1.24
834	0.4463	0.5622	0.964	0.25
835	0.3291	0.6147	0.526	-1.02
836	0.3746	0.6043	0.312	-5.10
837	0.3725	0.6039	0.507	-1.60
838	0.3613	0.5469	0.639	-1.13
839	0.3641	0.5801	0.533	2.76
840	0.2764	0.6379	0.422	3.87
841	0.3101	0.5181	0.010	2.07
842	0.3064	0.5560	0.522	-0.22
843	0.3639	0.4539	0.516	-6.98
850	0.3629	0.5300	0.745	-5.70
899	0.3638	0.5791	0.419	-5.60
901	0.4268	0.5418	0.512	-0.37
911	0.4364	0.5914	0.907	-0.62
920	0.4642	0.5070	0.224	2.52
921	0.3631	0.4677	0.639	-2.74
922	0.4914	0.4416	0.523	-1.50
927	0.4421	0.4719	0.254	7.72
931	0.4113	0.5707	0.450	-1.26
935	0.4363	0.4860	0.556	-1.39
950	0.3827	0.5871	0.431	-3.43
951	0.4258	0.5768	0.462	-1.28
952	0.4142	0.6273	0.880	6.01
970	0.3526	0.5631	0.286	-7.64
971	0.3401	0.6205	0.717	-0.70
972	0.4192	0.5523	0.536	-1.75
973	0.3700	0.5649	0.135	3.65
974	0.3404	0.5674	0.457	-1.30
975	0.3940	0.6015	0.603	-1.02
977	0.3863	0.6185	0.571	0.82
981	0.4810	0.4939	0.605	4.05
992	0.3984	0.5239	0.479	-1.71
993	0.4526	0.5408	0.418	-5.37
994	0.3878	0.5945	0.336	1.95
996	0.3649	0.4767	0.162	3.36
